author,text,date,url,source_type
Oleg Navalny,http://7x7-journal.ru/item/70118,2015-10-25,https://facebook.com/100050656621768/posts/1510724015914930,facebook.com/100050656621768
Oleg Navalny,http://www.newtimes.ru/articles/detail/103385,2015-10-27,https://facebook.com/100050656621768/posts/1511592425828089,facebook.com/100050656621768
Oleg Navalny,"""Нарушений Уголовного законодательства и прав человека в учреждении не выявлено"".

ИК-5 УФСИН РОССИИ ПО ОРЛОВСКОЙ ОБЛАСТИ ПОСЕТИЛИ ВЕДУЩИЙ КОНСУЛЬТАНТ АППАРАТА УПОЛНОМОЧЕННОГО ПО ПРАВАМ ЧЕЛОВЕКА В РОССИЙСКОЙЕщё ФЕДЕРАЦИИ ВИТАЛИЙ БОРЗЕНКОВ И УПОЛНОМОЧЕННЫЙ ПО ПРАВАМ ЧЕЛОВЕКА В ОРЛОВСКОЙ ОБЛАСТИ АЛЕКСАНДР ЛАБЕЙКИН
28.10.2015
Во время беседы Виталия Борзенкова и Александра Лабейкина с руководством учреждения обсуждались вопросы трудоустройства, социального сопровождения и медицинского обеспечения осужденных.
В помещениях ШИЗО и ПКТ Виталий Борзенков и Александр Лабейкин совершили покамерный обход, проверили санитарное состояние подсобных помещений, беседовали с осужденными.
В конце своего визита консультант Аппарата Уполномоченного по правам человека в Российской Федерации и Уполномоченный по правам человека в Орловской области провели прием осужденных по личным вопросам.
Нарушений Уголовного законодательства и прав человека в учреждении не выявлено.
http://www.57.fsin.su/news/detail.php?ELEMENT_ID=219422",2015-10-28,https://facebook.com/100050656621768/posts/1511930852460913,facebook.com/100050656621768
Oleg Navalny,http://www.novayagazeta.ru/politics/70527.html,2015-10-29,https://facebook.com/100050656621768/posts/1512267629093902,facebook.com/100050656621768
Oleg Navalny,"Всем привет!
Я не в ШИЗО, я уже на СУСе (адвокатам удалось приостановить взыскание, которое мы обжалуем), начинаю потихоньку обживаться. В среду приезжала комиссия из УПЧ, надеюсь, это поможет, но после ихЕщё отъезда мне предложили объясниться еще по 5 допущенным нарушениям =)
Но это все мелочи.
Всех с наступающим днем всех святых.
В том году я выглядел так [слева], в этом буду выглядеть так [справа], что тоже недурственно.
И, конечно, огромное спасибо всем, кто подписал письмо в мою защиту.
Говорит вам, что вы крутые – значит быть Капитаном Очевидность.
Чак Норри брал уроки крутости именно к вас.
Олег.
P.S. OMG! Паштет подписал письмо в мою поддержку. Когда в 17 лет на свой день рождения я слэмился под его новый бит, я даже не мог себе этого представить.",2015-10-30,https://facebook.com/100050656621768/posts/1512608829059782,facebook.com/100050656621768
Oleg Navalny,"Всем привет!
У меня все ОК. Живу в режиме таракана – жмусь к батарее, ибо прохладно, и подозрительно смотрю на входную дверь. Но при включении света не убегаю, потому что свет никогда не гаснет =)
Мне наконец-то отдали кучу газет, которые я выписываю, и я читаю огромную порцию новостей, так что сейчас я в 21 октября 2015 года.
Сегодня ко мне пришлиЕщё и в торжественной обстановке ознакомили со статьей УК, касающейся дезорганизации в исправительных учреждениях, поэтому с нетерпением ожидаю сюрпризов на выходных.
Кстати! Вчера вечером мне сказали, что услуга ФСИН-письмо временно приостановлена, т.к. у колонии нет денег на бумагу и картриджи.
Я, естественно, с утра отдал заявление, чтобы мою зарплату за 2 месяца (что-то около 3 тысяч рублей) забрали для оплаты расходов на ФСИН-письмо. Надо же как-то помочь колонии в этой сложной ситуации.
6.11.15
Олег",2015-11-06,https://facebook.com/100050656621768/posts/1515229778797687,facebook.com/100050656621768
Oleg Navalny,https://meduza.io/news/2015/11/08/sud-otkazalsya-nakazyvat-uchastnika-piketa-v-podderzhku-olega-navalnogo,2015-11-08,https://facebook.com/100050656621768/posts/1516099418710723,facebook.com/100050656621768
Oleg Navalny,"Новая колонка:

С тех пор как я попал в круговерть нашей уголовно-исправительной системы, моя жизнь не то чтобы кардинально изменилась (как писал Оскар Уайльд, «когда я освобожусь, я просто пройду из однойЕщё тюрьмы в другую», — не подумайте, что я эрудит, просто мне прислали книгу афоризмов Уайльда), просто новости, которые я получаю, иногда странные и чаще всего запаздывают. Поэтому ниже я расскажу о плохих и хороших новостях, многие из которых покажутся странными, но все являются безусловной ценностью в однообразной жизни зэка.

http://newtimes.ru/articles/detail/103687",2015-11-10,https://facebook.com/100050656621768/posts/1516677738652891,facebook.com/100050656621768
Oleg Navalny,http://www.novayagazeta.ru/news/1697923.html,2015-11-12,https://facebook.com/100050656621768/posts/1517468648573800,facebook.com/100050656621768
Oleg Navalny,"Всем привет!
Выяснилось, что мой фейсбук читает весь орловский ФСИН!

В воскресенье приезжал человек и опрашивал по поводу посту про однобрового малыша (http://on.fb.me/1Qkl6oq). Сказал, что тот однобровый мальчик почувствовал нанесение урона своей репутации и угрозы в комментариях. Я сказал, что сравнение с мальчиком с одной бровью – это неЕщё оскорбление, а скорее лесть, а комментариев бояться не надо, потому что он уже взрослый.

Также всё воскресенье через репродуктор в зоне играла очень патриотическая музыка. Один и тот же сэт несколько раз. Что именно играло, было не разобрать, но что-то разрывающее душу и пробуждающее любовь к родине.

В начале недели мне сказали, что какие-то смельчаки осаждали зону с пикетами, чем напрягли администрацию и порадовали арестантов.
Кто бы это ни был – вы крутые, спасибо.
А ещё вчера сотрудник администрации читал мне стих про «звезду пленительного счастья», находясь за дверью камеры и наблюдая за мной в глазок. Посмеялись. Я нашел это очень ироничным.",2015-11-12,https://facebook.com/100050656621768/posts/1517501621903836,facebook.com/100050656621768
Oleg Navalny,http://www.interfax.ru/russia/479517,2015-11-16,https://facebook.com/100050656621768/posts/1519006278420037,facebook.com/100050656621768
Oleg Navalny,http://www.rbc.ru/politics/16/11/2015/5649d59a9a794773d2bc993e,2015-11-16,https://facebook.com/100050656621768/posts/1519132108407454,facebook.com/100050656621768
Oleg Navalny,http://plushev.com/2015/11/17/13571/,2015-11-17,https://facebook.com/100050656621768/posts/1519432421710756,facebook.com/100050656621768
Oleg Navalny,http://takiedela.ru/2015/11/pyaterka/,2015-11-25,https://facebook.com/100050656621768/posts/1522893611364637,facebook.com/100050656621768
Oleg Navalny,"Извините, скорее всего, моя повестка дня не очень совпадает с вашей. Просто у меня тут в камере не очень много чего происходит.
Я снова об усах.
Так и не поняв, какие усы мне надо растить (забыл, что у меня нетЕщё компьютера, и ваши комментарии я не вижу), решил растить такие же, как у чувака из клипа Sabotage Beastie Boys.
Но так как я полностью лысый и у меня нет крутых очков и такой тачки, я, скорее, больше похож на казака.
С казаками трудно. Скажешь, что донской – назовут ватником, скажешь, что запорожский – укропом.
Поэтому буду считать себя лесорубом по имени Бутч. Но для вас – мистер Бутч.",2015-12-17,https://facebook.com/100050656621768/posts/1532278580426140,facebook.com/100050656621768
Oleg Navalny,"Все подводят итоги года, ну и я подвожу.
В таблице почему-то 17 пунктов, хотя взысканий у меня 19.
Занижают передовые показатели.",2015-12-24,https://facebook.com/100050656621768/posts/1536316070022391,facebook.com/100050656621768
